朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
怡馨家园 纯朝南 带电梯 一居户型 满五年,326万,单价43254元/平米
西三旗 海淀产权 精装修 大两居,590万,单价58765元/平米
嘉铭桐城 南北通透 满五年唯一 有车位,1030万,单价99546元/平米
房子户型方正，南北通透，楼层好，视野宽阔,535万,单价56620元/平米
房子是商品房满五年，唯一住房，带电梯，看房方便,458万,单价47759元/平米
此房满五年，南北通透两居室，所有得材料都是环保的,559万,单价57772元/平米
西南loft，精装修，可拎包入住，天然气厨房。,472万,单价89940元/平米
满五家庭名下唯一住房 精装两居室 中间层 明厨明卫,320万,单价65642元/平米
赵山 2室1厅 356万,356万,单价45490元/平米
车站东街甲9号院 全明格局 朝南2居 视野开阔 采光好,600万,单价112889元/平米
安贞胜古北里双南2居，中间层，单独小院管理,417万,单价79748元/平米
南北通透两居室 中间楼层 满五年  采光充足 视野开阔,483万,单价53359元/平米
商品房 满五年 业主名下只有这一套房  全明格局,495万,单价55246元/平米
东四危改A区，3层，商品房，东西通透两居。,850万,单价105617元/平米
满五唯一商品房首套只有契税1%,395万,单价54581元/平米
首付94万电梯房满五年唯一单价3.4万,239万,单价32754元/平米
优质2居 中间楼层 全天采光  空户 无占用,699万,单价126402元/平米
低楼层 南北通透 满五年 配套齐全  生活方便,278万,单价42205元/平米
京棉新城三厂  09年社区，满2年回迁房，看房随时,425万,单价50632元/平米
朝南向，户型好，环境好，交通方便,549万,单价66635元/平米
行宫园 精装修 全明格局 两居室,212万,单价27540元/平米
带三个露台全明三居室位置好 只有契税 客厅挑高3.5米,863万,单价79768元/平米
牡丹园地铁十号线南北通风好三居室满五唯一公房,630万,单价91437元/平米
紫芳园一区西南两居，满五年唯一，采光好,545万,单价75287元/平米
商品房满五年，阳台4.7米，有独立餐厅,428万,单价43629元/平米
总价低， 满五唯一商品房，精装修,418万,单价55182元/平米
满五年唯一  南北通透  精装修,435万,单价45550元/平米
精装修 带车位 户型方正 南北通透两居室,695万,单价116260元/平米
西城区朝南一居室，户型方正，无遮挡采光好,470万,单价96569元/平米
东方生活区 2室1厅 265万,265万,单价40341元/平米
朝南一居室 格局方正 满五年 采光好,199万,单价44470元/平米
商品房，满五年唯一，三居室，业主诚心出售,390万,单价35715元/平米
全明格局，高楼层，无遮挡，满五唯一,618万,单价59989元/平米
三环边 地铁旁 优筑国际 精装修50万 满五唯一,680万,单价67946元/平米
新风南里 3室1厅 1020万,1020万,单价147613元/平米
西单西四金融街南北通透低楼层两居室,670万,单价125234元/平米
西城广安门 荣丰一期东向开间 满五年 北京一套房,343万,单价130122元/平米
总价低一居室，公房，板楼3层，1992年建,560万,单价116667元/平米
荣丰开间 业主诚售 原值355万满二年,350万,单价131038元/平米
24平大主卧 全明户型 中间层 精装修 皂君东里,579万,单价89768元/平米
老业主委托  1984年楼龄 楼龄新 可贷款  诚心出售,850万,单价124451元/平米
小区中间位置 中高楼层 大阳台 精装修 业主诚意出售,423万,单价65776元/平米
杨庄小区 2室1厅 369万,369万,单价48413元/平米
九和苑 2室2厅 1500万,1500万,单价121311元/平米
定慧东里 2室1厅 460万,460万,单价74919元/平米
杨庄中区 满五唯一 带电梯 精装大两居室,355万,单价40475元/平米
新通国际 精装南北通透两居 满五年唯一 中间楼层,459万,单价50989元/平米
经理推荐  南北通透二居室 紧邻地铁8号线  低税费,299万,单价53232元/平米
高层东南向  二次精装修  看房随时 业主诚意出售,790万,单价71082元/平米
八角中里 婚房两居室，满五年公房，中间位置！环境好,289万,单价49100元/平米
高层 观花园 新装修 业主自住,705万,单价80471元/平米
地铁六号线 南北通透两居 满五唯一 带阁楼,400万,单价41464元/平米
翠成馨园 2室1厅 349万,349万,单价44189元/平米
全南两居，诚心出售，满五年唯一 采光、视野都很好,486万,单价73715元/平米
全南向两居室，户型方正，诚心出售，采光好,536万,单价64085元/平米
满五年唯一 三居双卫 两年的精装修 客厅带边窗,455万,单价40380元/平米
满五唯一，南北通透，精装婚房，中间楼层，看房方便,395万,单价51346元/平米
2014年新社区+全南向+金地物业+电梯高板,300万,单价39783元/平米
南北通透两居室，板楼3层，精装修,499万,单价67397元/平米
精装修婚房 满五年公房 楼龄新 中间楼层有钥匙,578万,单价71597元/平米
开山之作 南北通透 客厅大面宽 观景视野好,1720万,单价78016元/平米
通州台湖，满二年，全南向，精装修，二居适合居住！,256万,单价39957元/平米
芳城园二区 西南向二居室，大客厅，采光好,455万,单价70434元/平米
满五年，82年的钢混，单位公房,339万,单价62328元/平米
满五唯一精装修，南北方正两居，不临街，诚意售。,636万,单价70456元/平米
低总价一居室 业主诚心出售 原值400万 自如精装修,628万,单价157000元/平米
劲松北工大 大客厅三居 全天阳光 14号线 无浪费面积,442万,单价56071元/平米
壹线国际 1室1厅 490万,490万,单价67830元/平米
凯迪尚府 1室1厅 599万,599万,单价121502元/平米
上海沙龙 2室1厅 502万,502万,单价53938元/平米
一梯两户不临街中间楼层，08年社区物业好人车分流,970万,单价63259元/平米
马连洼兰园 满五年唯一商品房 南北通透 71.67平2居,526万,单价73392元/平米
望春园板楼南北通透两居，一梯两户，不临路,685万,单价63047元/平米
海淀2005年，中国房子，首套购房1.5%契税，南北3居室,1030万,单价77654元/平米
南向两居 无遮挡 视野开阔 高层有电梯,376万,单价44153元/平米
房子南北通透 三层 有钥匙 随时看 随时签约,690万,单价116358元/平米
南北小两居 低楼层  商品房税费少,487万,单价84330元/平米
南北3居 中上楼层通风好 总价低,809万,单价68236元/平米
清河永泰园03年小区 商品房有电梯 落地大阳台 2室2厅,580万,单价52911元/平米
冠军城2006年建成商品房社区，管家式物业管理,675万,单价85606元/平米
宝盛里中间层，满五年唯一，南北向三居室，业主诚售,749万,单价60113元/平米
南北全明格局两居室，高楼层、视野好,650万,单价113856元/平米
荟康苑 南北小两居  首付135万起 随时看,343万,单价52247元/平米
八角中里2居 中间3层 满五无其他住宅,310万,单价53028元/平米
古城西路  双阳台两居大客厅，97年房龄,318万,单价47791元/平米
三环边  全南户型  采光充足  无遮挡,530万,单价56904元/平米
西坝河中里 双南向两居 精装修 采光好 诚心出售,375万,单价73086元/平米
南北通透，双明卫三居，电梯直通车库。,840万,单价61038元/平米
2006年社区人车分流大面宽南北通透、全明格局,792万,单价57895元/平米
百万装修 地暖 正对小区花园 随时看房,1155万,单价83885元/平米
温馨一居，南向阳台，落地窗，和你很配。,340万,单价81751元/平米
有电梯 采光好 视野好 交通便利临公园,720万,单价92344元/平米
向阳东里 1室1厅 190万,190万,单价34735元/平米
裕龙五区 2室1厅 345万,345万,单价35352元/平米
劲松四区 3室1厅 360万,360万,单价61017元/平米
2004年的商品房，封闭式管理，户型方正，诚意出售,305万,单价56357元/平米
华龙美树【满五年唯一】南北两居,508万,单价50745元/平米
管庄西里，南北通透户型，看房方便，有装修！,325万,单价53454元/平米
满五唯一 中间楼层 随时看房 南北通透,425万,单价46479元/平米
正南正北三居 家庭名下就这一套住房 装修保持好,785万,单价58248元/平米
郁花园一里 南北两居室 满五年 集中供暖,327万,单价43887元/平米
南北通透三居室采光好位置好客厅双卧朝南挑高业主诚售,450万,单价44248元/平米
满五年，家庭唯一 卫生部央产房 全明格局 带电体,510万,单价67345元/平米
玺萌公馆 南北全明平层4居 电梯洋房 满五年唯一,1430万,单价71067元/平米
远洋沁山水小两居，满五年唯一，中间层，采光好,570万,单价81186元/平米
青年汇一期，正规南向一居室，户型方正,432万,单价74715元/平米
宋家庄家园 1室1厅 220万,220万,单价42794元/平米
六合园 2室1厅 345万,345万,单价52834元/平米
此房满五唯一，南北通透，户型方正无浪费,606万,单价60395元/平米
满五年唯一，东南朝向，观小区花园,799万,单价56431元/平米
房子满五年，经典南北两居，无抵押 业主随时签约,360万,单价43685元/平米
政馨园一区 满5年 业主名下唯一的   落地窗大客厅,390万,单价56835元/平米
宏福园 南北通透 低楼层 满五年,256万,单价41512元/平米
总价低 南北通透 看房方便 业主诚心出售,365万,单价30704元/平米
满五年商品房，南北通透，格局方正，看房方便,470万,单价63747元/平米
楼龄新，南北通透，满五年唯一，楼层好,400万,单价49524元/平米
房本满五年 家庭在京一套 朝南 集中供暖 带电梯,302万,单价57988元/平米
炫特嘉园一期 1室0厅 322万,322万,单价64841元/平米
新马家园 1室1厅 230万,230万,单价35271元/平米
马连道中里满五年唯一精装修全南向一居室,485万,单价103589元/平米
旗胜家园大一居，满五年唯一，配合转商,348万,单价48884元/平米
正对公园 视野好有绿化 满五唯一 一套在售 精装修,705万,单价81892元/平米
首付165万 南北通透满五年唯一免个税不临街不把边,380万,单价44125元/平米
石龙北路20号院 2室1厅 270万,270万,单价36680元/平米
南北通透，中间楼层，诚心出售，看房方便,640万,单价47257元/平米
莲葩园东南大两居，满五年唯一带地下车位随时签约！,565万,单价46982元/平米
满五年唯一商品房 南北通透三居室 精装修 一梯两户,699万,单价71685元/平米
板楼 南北通透大两居 双卫设计，满五年，安静不临街,640万,单价56116元/平米
鲁能溪院 南北通透三居室 明厨明卫,419万,单价33693元/平米
满五年公房 电梯三居 采光视野无遮挡 诚心出售,670万,单价65303元/平米
三环里 柳林馆两居室 有钥匙随时看,605万,单价97111元/平米
房子满五年唯一公房  精装修拎包入住 近地铁 随时签约,760万,单价79824元/平米
商品房 小区中间 经典南向一居室带电梯,370万,单价65107元/平米
2007年商品房社区，一梯两户低层板楼带电梯，环境优美,775万,单价99181元/平米
2008年商品房社区 近地铁 配套完善,1080万,单价109601元/平米
2015年新小区，商品房，人车分流,625万,单价57946元/平米
顺驰领海错层三居，满五年精装有车位地下室，18平米,616万,单价56179元/平米
满五唯一商品房，南北通透三居室,955万,单价67535元/平米
西三环北路105号院 3室1厅 790万,790万,单价118976元/平米
华纺易城 3室1厅 955万,955万,单价70113元/平米
鹿港嘉苑 3室1厅 1060万,1060万,单价80425元/平米
瑞海家园南北通透两居室 中间楼层 采光通风好,402万,单价42055元/平米
满五年唯一限价房 有钥匙 南北通透,325万,单价36472元/平米
当代南向开间，中间楼层，业主诚意出售。,398万,单价86466元/平米
华芳园满五年唯一正规一居室  地铁317米（高德地图）,323万,单价49739元/平米
满五唯一3居室  南北通透 中间楼层  采光好,418万,单价29692元/平米
南北通透、无遮挡、自住精装修大两居室，看房方便,758万,单价139853元/平米
海棠湾全明户型 南北通透 可观景,495万,单价56123元/平米
远洋山水 2008年 满五年唯一 精装修 首付177万 两居室,445万,单价65780元/平米
牡丹园带电梯正规两居室 满五唯一已购公房,508万,单价87935元/平米
北二环外  满五年  业主家庭名下唯一住房  精装修,560万,单价103379元/平米
融泽嘉园南北通透两居室 看房方便 业主诚意出售,518万,单价56152元/平米
葡东小区 2室1厅 265万,265万,单价31567元/平米
业主换房急售！2005年社区，管理好， 户型方正！,382万,单价71603元/平米
三环边洋桥马家堡 东丽温泉卧室客厅朝南 双阳台随时看,415万,单价54527元/平米
2019年9月2日满五年，家庭唯一，精装修，视野无遮挡,465万,单价57880元/平米
陶然亭公园西门 南北通透三居室 采光充足 诚意出售,798万,单价114508元/平米
满五年唯一 钢混带电梯 近地铁,378万,单价59735元/平米
新康园 2室1厅 425万,425万,单价48644元/平米
满五唯一东向小户型正对小区花园,238万,单价47917元/平米
马家堡 角门 润景家园 西南北大三居 满五唯一随时可看,745万,单价59801元/平米
小南庄社区南北通透 全明格局3居室户型好交易成本低,798万,单价109616元/平米
鲁能7号院 通透三居室 精装修 楼间距大 采光视野好,490万,单价42039元/平米
南向两居室，高楼层采光好，视野开阔，精装修,660万,单价75671元/平米
东一时区 东南向  的1居室  看房方便,287万,单价45412元/平米
美宅湾 2室1厅 285万,285万,单价38702元/平米
阳光邑上 精装修 带电梯 舒适两居室,268万,单价39459元/平米
满五年唯一，带租赁车位，看房方便，物业管理好,510万,单价54175元/平米
阳光好东东，电梯一居室。适合居住,285万,单价46722元/平米
壹线国际 两居室    满五唯一,598万,单价59338元/平米
中石油社区 两居室带客厅带餐厅楼龄新带电梯 看房方便,1020万,单价144887元/平米
南北通透小三居 中高层视野好 正对小区花园,429万,单价47784元/平米
南北两居室，户型方正，有钥匙看房随时,360万,单价60535元/平米
海棠湾一期 2室1厅 490万,490万,单价54694元/平米
满五唯一公房 40万精装修  高法家属院,430万,单价57387元/平米
舒适一居，高楼层，视野好，精装修，直接拎包入住,459万,单价50313元/平米
北四环 高楼层 前后正对花园，南北通透四居室,1759万,单价100653元/平米
长桥园公寓 3室2厅 480万,480万,单价43244元/平米
地铁16号线马连洼站 兰园 中间楼层 3居室,598万,单价67878元/平米
富力城C区 2室1厅 1170万,1170万,单价96336元/平米
商品房满五年唯一两居室，南北通透，近地铁13和8号线,339万,单价49152元/平米
裕龙西区三居双卫户型   满五唯一  低楼层,530万,单价41089元/平米
平原里  低楼层  满五年 一居室  诚心出售,528万,单价105348元/平米
和平街十一区 2室1厅 530万,530万,单价79449元/平米
四环内 中间楼层 南北通透 随时签约,360万,单价52387元/平米
安贞里 精装修 中间层 低总价两居室,438万,单价80797元/平米
康乐里小区东向两居室    楼层高视野好  看房随时,1098万,单价108167元/平米
东一时区 满五年唯一  中间楼层 无遮挡,420万,单价49348元/平米
瑞雪春堂二里满五唯一精装修中间楼层好位置两居室,280万,单价31050元/平米
房本满五年，阳台外面17.9平米露台不算在房本面积内,365万,单价40664元/平米
公主坟翠微路南北向2居精装出售,505万,单价95212元/平米
满五年唯一中间层 自住精装修 业主随时配合签约,478万,单价52310元/平米
知春里 交通方便 总价低 满五年公房 看房随时,565万,单价89683元/平米
卡尔公寓三居 高楼层 无遮挡采光好 视野开阔 业主诚售,655万,单价47682元/平米
南北通透 中间楼层 全明格局 双阳台正规2居 靠谱出售,340万,单价49233元/平米
方丹苑 3室2厅 920万,920万,单价75509元/平米
万年三期全明格局三居室，东西通透,730万,单价57224元/平米
精装婚房 市委宿舍楼 物业管理好,475万,单价60395元/平米
流星花园二区电梯两居，满五年唯一,466万,单价45526元/平米
潞苑版块热门社区，四海公寓，满五年唯一，全明格局,335万,单价31951元/平米
04年社区 低楼层双南向两居室  户型方正   必卖好房,676万,单价109955元/平米
70年大产权商品房、纯南向一居室,173万,单价37030元/平米
侨办大院三居室，户型方正，无遮挡,870万,单价116155元/平米
万寿路18号院 南北两居室 中间楼层 满五年唯一,508万,单价92871元/平米
毛纺厂南小区 南向开间 采光好,296万,单价82659元/平米
假日风景精致两居室 刚需置业 满五年唯一,500万,单价58473元/平米
满五年唯一商品房 电梯板楼，双卧朝南采光好,639万,单价63349元/平米
满五唯一，税费低，不临街，中间楼层，安静采光好,515万,单价74101元/平米
西水井胡同 按商品房管理满五年唯一 一梯两户,680万,单价90728元/平米
青年汇 精装两居 满五唯一 次顶层 无遮挡,560万,单价70194元/平米
桃园小区 南北通透 大客厅 满五唯一 干湿分离卫生间,245万,单价29687元/平米
精装修南北通透loft，天然气厨房，采光好，视野好。,578万,单价85974元/平米
和平里九区 2室1厅 550万,550万,单价109803元/平米
2003年电信公房 楼龄新 有电梯 朝南 视野好无遮挡,670万,单价90664元/平米
八里庄北里朝南三居，低楼层，无遮挡,675万,单价85120元/平米
满五年商品房，南北通透，高楼层视野无遮挡。,340万,单价59556元/平米
满五年唯一 明厨明卫两居室，精装修 拎包入住,435万,单价67411元/平米
万科星园东南正规一居 满五唯一 无遮挡 视野棒,507万,单价77512元/平米
国企开发纯板楼，开盘样板户型；满五唯一，有固定车位,648万,单价65074元/平米
江山赋 2室1厅 535万,535万,单价55098元/平米
交通便利  中间楼层  南北通透 精装修,265万,单价44939元/平米
新怡家园不临街平层4居 西南北三面采光 闹中取静,2380万,单价141188元/平米
二环边，方庄双南向两居室，满五年，5/14号线双地铁,388万,单价66530元/平米
人社部单独小院管理1991年房龄小区内部不临街,389万,单价68547元/平米
牡丹园月季园诚心出售低总价优质一居室,356万,单价77730元/平米
看房随时 南北通透 07年小区,470万,单价54386元/平米
北小园 4层2居室 满5年1套房 干净温馨  诚心出售,310万,单价40785元/平米
清源西里 满五唯一 业主诚心出售,265万,单价41041元/平米
南北通透两居室，采光充足，无浪费面积，周边配套齐全,278万,单价33100元/平米
南礼士路三条北里 2室1厅 660万,660万,单价114783元/平米
商品房一居室 诚心出售 看房方便,313万,单价50928元/平米
通州北苑 长城国际 改好一居室 精装修 交通便利,252万,单价46659元/平米
14年新房精装修中间楼层板楼两梯四户,555万,单价60399元/平米
清欣园 2室1厅 358万,358万,单价39311元/平米
永乐西区南向一居室 明厨明卫 装修好 前面没有遮挡,220万,单价54201元/平米
房子是商品房满五年唯一，黄金4层，视野开阔，不临街,375万,单价50608元/平米
店长推荐  大客厅两居室 满五年唯一 诚意出售,360万,单价54637元/平米
运河西岸满五年南北三居大阳台看房方便,535万,单价40787元/平米
新翠景园 2室1厅 378万,378万,单价40528元/平米
满二年公房，难得低楼层，大客厅两居,329万,单价67198元/平米
稻香园 东北向大两居 带客厅 精装修,780万,单价89966元/平米
新华联西南向二居，户型方正，业主诚售看房方便,450万,单价51760元/平米
世茂奥临花园高层观景两居 满两年原值高，采光无遮挡,875万,单价73747元/平米
金融街 西单 京畿道小区 粮食局家属楼,1400万,单价136055元/平米
行宫园一里 正规两居 满五唯一 采光良好！,199万,单价28712元/平米
金宝城洋房，三居双卫，带电梯，精装修，诚心出售。,540万,单价41389元/平米
育新花园板楼低楼层三居 南北通透 满五年公房,736万,单价77843元/平米
南北通透户型，精装修，低楼层，出行方便。,249万,单价26558元/平米
南北通透两居室，有电梯，高楼层，视野好,375万,单价40449元/平米
南小园 2室1厅 246万,246万,单价41179元/平米
满5年家庭唯一住房，房子是精装修，随时可签约,595万,单价71284元/平米
南沙滩小区 2室1厅 410万,410万,单价77785元/平米
三环里柳林馆小区，总价低小户型，全明格局,378万,单价105000元/平米
志强园 一居室 南北通透 积水潭,345万,单价83942元/平米
中间楼层，一梯两户，看房方便。,225万,单价25287元/平米
南北朝向，自住装修，契税票9月份满五年,323万,单价69136元/平米
满五年公房，楼层好，西城，月坛，中古,820万,单价124149元/平米
老山西里 2室1厅 273万,273万,单价54864元/平米
裕龙三区 2室2厅 430万,430万,单价39650元/平米
二环边精装三层 满五年 店长推荐,350万,单价62826元/平米
这种户型海特花园只有一栋楼有。,329万,单价53245元/平米
满两年 高原值 带电梯 随时看房 诚心出售,340万,单价52746元/平米
友谊医院家属院 南向一居 次顶层 满五年唯一,405万,单价106832元/平米
1991年 满五年公房 南北向 精装修,290万,单价69863元/平米
公园五号东向开间，精装修，万科物业,423万,单价74551元/平米
园林社区 人车分流 正规一居 高层 不临街 观花园,528万,单价76789元/平米
中铁建东西经典小三居业主诚售满五唯一,395万,单价58571元/平米
北街家园八区东向开间精装修视野好满二,180万,单价52341元/平米
康庄路50号院 一梯两户 10月30日满五年家庭唯一,330万,单价37213元/平米
正规大一居室，诚心出售，环境好，进出刷门禁,372万,单价56820元/平米
朝阳产权  低楼层3居室  满五年 户型好,260万,单价35202元/平米
南北朝向，通风性好。中间层无遮挡。,359万,单价62381元/平米
东西通透两居室，主卧朝东带阳台，次卧朝西，明厅明厨,679万,单价117475元/平米
国英园开行院里 南北四居 有管理 可停车 公房可贷款,1980万,单价115117元/平米
高楼层 精装修 南北通透 三居室 业主诚售,448万,单价58486元/平米
南北通透，中间楼层，业主诚意出售,398万,单价68621元/平米
芍药居北里 精装东南三居 满五公房 全天采光 价格能谈,765万,单价87002元/平米
华馨园 2室1厅 335万,335万,单价35552元/平米
高层北向一居室、满五唯一商品房、户型方正视野开阔,605万,单价106122元/平米
和平里-低总价-精装修-明厨明卫-两居室,360万,单价76336元/平米
熙湖 2室1厅 670万,670万,单价59350元/平米
08年小区 西南朝向无遮挡 采光充足 视野宽阔,715万,单价77081元/平米
南北通透，复式格局电梯直达中间楼层,520万,单价95030元/平米
蓝桥驿苑 1室1厅 183万,183万,单价32997元/平米
天伦锦城，正规三居室，南北朝向，,520万,单价48717元/平米
稻香园  南北向两居室 明厨明卫 采光好,590万,单价98498元/平米
万科星园二期南北三居室 户型通透观景奥森,1150万,单价76555元/平米
东城区 广渠家园 东向一居 无遮挡  保养好,466万,单价93014元/平米
满五年 家庭名下一套住房 中间楼层 随时签约,298万,单价48614元/平米
知语城优质全南两居室  满五唯一,775万,单价84904元/平米
万寿路甲15号院五区 3室1厅 970万,970万,单价107539元/平米
房子是满五年唯一，税费少，电梯房,275万,单价43790元/平米
东直门南大街双东向两居，高层有电梯，光线好。,550万,单价95371元/平米
北京印象东西通透的两居，人车分流 满五年唯一商品房,788万,单价78013元/平米
满五年不唯一，个税1%。中间楼层，明厨明卫两居室,295万,单价36429元/平米
【低总价】70年产权商品房 精装南向开间【满两年】,363万,单价64396元/平米
和平里五区，东南朝向一室一厅满五年,465万,单价114617元/平米
西坝河东里 2室1厅 415万,415万,单价67087元/平米
视野宽阔 采光充足，配套设施齐全，交通便利,940万,单价71778元/平米
呼家楼北街  满五年的公房 带电梯三居室 高楼层视野好,500万,单价68606元/平米
满五年唯一 全明格局精装修两居室,800万,单价84344元/平米
苹果南区精装两居 满五年家庭名下唯一住房 诚意出售,685万,单价79652元/平米
南湖东园推荐 南北板楼2居 有电梯,535万,单价69689元/平米
【高楼层】【把边户】【精装修】【诚心卖】【方便看】,897万,单价63121元/平米
宏盛家园 3室1厅 450万,450万,单价38908元/平米
秀水园小区，精装修两居，明厨明卫，双阳台,408万,单价62110元/平米
甘柏小区，南北通透，中间楼层 ，环境舒适,710万,单价121347元/平米
满五年唯一，高楼层，三居室，简单装修，格局无改动，,469万,单价52450元/平米
2003年房龄，满五唯一，产权清晰无抵押，无户口,270万,单价32286元/平米
马家堡、角门东地铁口，南北通透两居室,328万,单价55594元/平米
精装修两居室2006年商品房楼龄新带电梯有固定租赁车位,690万,单价69187元/平米
京汉旭城一期 中间层 南北双通透两居 精装修 带车位,585万,单价63196元/平米
低楼层，看房方便，诚意出售，可随时签约,720万,单价59318元/平米
此房满五年唯一，南北通透高楼层视野好，采光好,270万,单价47687元/平米
溪城家园 2室1厅 389万,389万,单价48747元/平米
首开常青藤 中间位置 主打三居 业主诚售,650万,单价70938元/平米
霍营地铁8号线和13号线商品房两居室精装修。,326万,单价53672元/平米
西南一居室，业主诚意出售，看房随时。,379万,单价57460元/平米
此房是业主诚心出售，一层带小院，满五年唯一。,520万,单价60116元/平米
劲松七区 2室1厅 352万,352万,单价59672元/平米
乐成国际北排特殊户型，东看花园南向采光，随时看房,1299万,单价94090元/平米
融科香雪兰溪 3室2厅 323万,323万,单价36126元/平米
茉藜园正规两居室 满五年唯一 看房方便 诚心出售,520万,单价52425元/平米
首开常青藤四期 3室1厅 645万,645万,单价69535元/平米
泰河园三里    满五年唯一住房  南北向,338万,单价42802元/平米
双紫小区，西南向两居 2000年，满五年公房，不临街,700万,单价85743元/平米
中间位置，中间楼层，南北双通透，电梯直通地库,643万,单价71812元/平米
满五唯一， 曙光里，双南向，1993年，全明格局,410万,单价67115元/平米
鲁谷 北重西厂 南向两居室 明厨明卫,288万,单价47175元/平米
滨河西里北区 2室1厅 312万,312万,单价41589元/平米
满五年公房  诚意出售  随时签约,340万,单价61718元/平米
东直门南大街 1室1厅 425万,425万,单价106437元/平米
满两年商品房+万科精装万科物业+高楼层景观房,585万,单价59500元/平米
史家胡同【金宝街】朝内南小街南北朝向两居 带露台！,745万,单价107256元/平米
东南向   高楼层   东面大落地窗   南面大落地窗,390万,单价41001元/平米
国航局家属楼 双南向 有钥匙 有电梯 有管理 满五年,560万,单价85120元/平米
客厅主卧3.9米挑高  南北通透  中高楼层 四室两厅格局,680万,单价56573元/平米
清缘里小区正规三居室，业主诚心出售,520万,单价52341元/平米
时代国际南向三居室，户型好，高楼层，看房方便！,880万,单价83603元/平米
丽园B区南北通透 满两年原值180万,295万,单价43834元/平米
精装修 商品房  正规东南一居,340万,单价64775元/平米
西直门 索家坟小区 满五唯一业主诚心出售工商银行分房,460万,单价78633元/平米
客厅双卧室朝南，动静分区，单独储物间，采光好双通透,929万,单价64658元/平米
草桥南北通透正规两居 满五年唯一,488万,单价63074元/平米
视野对花园一居室 景观好 安静不临,355万,单价60987元/平米
模式口南里满五年唯一，精装南向电梯房，配合签约,275万,单价45606元/平米
南沙滩小区南向一居室，1990年建筑。全明格局,320万,单价75259元/平米
杨庄推荐房源 1993年全明户型两居室 业主诚心出售,249万,单价44126元/平米
南二环外中间楼层一居改两居，满五唯一，业主诚售,355万,单价62391元/平米
全天采光无遮挡，金地物业，品质管理三居室,1100万,单价69462元/平米
都景苑  精装修  诚心出售一居室,450万,单价82147元/平米
北街家园五区，精装修，南北通透两居室！,390万,单价43688元/平米
富力丹麦小镇 2室1厅 310万,310万,单价30250元/平米
宋家庄政馨园西南向高楼层双卫大三居,645万,单价44904元/平米
霍营小区  精装修三居室满五年南北通透,360万,单价55309元/平米
正规精装大两居 户型方正 采光好 有电梯,450万,单价45304元/平米
此房南北通透 客厅双卧朝南 一梯一户 小区人车分流,896万,单价51418元/平米
铁道部宿舍 2室1厅 665万,665万,单价86544元/平米
永乐东区  业主诚心卖 有钥匙随时可看,275万,单价46305元/平米
店长推荐：灵秀山庄朝南一居 低楼层 商品房诚意出售,263万,单价45431元/平米
杨庄北区 南北朝向 经典户型两居室,400万,单价47773元/平米
翠成馨园E区 正规一居 满五唯一 高层观景,270万,单价48215元/平米
南向一居 客厅带阳台 采光好 敞亮舒适,245万,单价47426元/平米
南三环丰台草桥玉安园小区双南向两居室带车位诚心出售,475万,单价53109元/平米
铁一区 南北通透两居 精装修 小区环境好,610万,单价132898元/平米
新华联家园南区 2室1厅 429万,429万,单价46006元/平米
佳运园一期 2室1厅 349万,349万,单价49680元/平米
商品房 高层南向正规一居  落地窗  近地铁  视野开阔,408万,单价59589元/平米
太月园二期方正两居室 满五年家庭唯一 高楼层采光好,780万,单价87967元/平米
清欣园甲区 4室1厅 458万,458万,单价33630元/平米
东方瑞景 满五唯一 东南北三居 明厨明卫 主卧带阳台,1500万,单价75617元/平米
南北通透的一居室 低楼层  简单装修,232万,单价39966元/平米
商品房满五年唯一，精装婚房两居随时签约！,413万,单价51768元/平米
满五唯一可转商+小两居+首付148万,320万,单价44982元/平米
定慧寺板楼经典户型，南北通透，大客厅,479万,单价80940元/平米
公园旁边的小区 户型方正 通透 采光好 交易只有契税,295万,单价32572元/平米
双桥 水郡长安 联排别墅 满五年唯一,1250万,单价40821元/平米
安和园新上方正两居，双卧室朝阳，客厅朝北，南北通透,620万,单价79274元/平米
满五年唯一住房，东南金角户型方正,499万,单价52577元/平米
上奥世纪南北向电梯二居业主诚售,446万,单价47716元/平米
好房推荐 满五唯一 装修还行采光充足离地铁大学城站,230万,单价39438元/平米
角门 马家堡南北通透两居室 大客厅,370万,单价59448元/平米
满五年唯一，精装2居，二层，业主随时可以签约,449万,单价47589元/平米
此房户型方正 精装修 集中供暖 带电梯,350万,单价55153元/平米
西城区  荣丰二期南向遮挡复式   满五唯一  诚心出售,405万,单价156130元/平米
不临街，一层南向花园，临水系，西边户。,878万,单价55082元/平米
北三环 知春里 南北通2居室 满五年公房 中间楼层,680万,单价110930元/平米
朝阳门内 豆瓣胡同  南向一居  平层电梯  交通便利,720万,单价150251元/平米
把边户型带侧窗，明厨明卫干湿分离，加宽大阳台15㎡,760万,单价157677元/平米
六里桥，全南向两居室，高层采光好，9号线地铁,358万,单价67663元/平米
中间层，商品房，满五年，家庭名下唯一住宅,415万,单价44783元/平米
鑫苑鑫都汇 3室2厅 430万,430万,单价44276元/平米
永华北里 2室1厅 260万,260万,单价40174元/平米
一期公馆 人车分流 中间楼层 原值高 直通车库带车位,790万,单价54088元/平米
满二年，楼层好，视野宽阔，东西通透，交通便利。,312万,单价36603元/平米
南向无遮挡不临街 采光好 适宜居住,580万,单价103794元/平米
